date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,chart_pattern,candle_pattern,signal,confidence,rationale_bullish,rationale_bearish,score,expires
2023-06-21 13:30:00,0.69999999,0.704,0.67000002,0.67245102,99461,0.69584336,0.69247451,0.67633113,0.68472451,0.68899586,0.69307357,-0.00921548,43.35147324,0.65375883,0.68997254,0.72618626,10.49714691,0.25808167,0.01717093,111167.0,11.88141743,11.88141743,14.62313102,6.39799027,0.68215035,0.66000003,17.79871846,27.82757231,24.5732781,-40.04676017,-84.41677568,-6.60402889,42.59923277,0.01857724,0.01857724,0.65011761,0.68472451,0.7193314,0.66000003,0.69995001,0.73989999,5.78805798,23.84474973,0.00034511,,,Strong Buy,0.98,STOCH oversold; K oversold; D oversold; ATR rising (volatility up); Price above PSAR (bullish); WILLR oversold; ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),10.0,2023-06-21 14:30:00
2023-06-21 14:30:00,0.67009997,0.67949998,0.66680002,0.67474997,25889,0.6949217,0.69196101,0.67604365,0.68377455,0.68807677,0.69271073,-0.00882499,44.25125184,0.65264133,0.68821004,0.72377875,10.33658616,0.31078774,0.01695682,137056.0,17.36276039,17.36276039,14.08412056,23.92004005,0.68040162,0.66070002,16.76889243,26.33662534,24.60669213,-71.62277361,-81.53949013,-7.58115484,35.34994523,0.01824636,0.01824636,0.65004451,0.68377455,0.71750459,0.66000003,0.69460002,0.72920001,5.67966894,23.15821349,0.00033293,,,Strong Buy,0.98,STOCH oversold; K oversold; D oversold; ATR rising (volatility up); OBV rising (bullish volume); Price above PSAR (bullish); WILLR oversold; ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),11.0,2023-06-21 15:30:00
2023-06-21 15:30:00,0.67940003,0.67949998,0.67000002,0.67460001,12933,0.69374003,0.69150801,0.67578117,0.68290079,0.6872073,0.6923521,-0.00843044,44.20316396,0.65447131,0.68557004,0.71666877,9.07237095,0.3236257,0.0165998,124123.0,23.26150471,23.26150471,17.50189418,34.78072577,0.67986837,0.66156602,15.81276966,25.2469433,23.58858636,-60.25622427,-78.90175691,-4.98591141,38.84734328,0.01595331,0.01595331,0.65057362,0.68290079,0.71522796,0.66000003,0.69375002,0.72750002,5.57010838,21.44089552,0.00025451,,,Strong Buy,0.98,D oversold; ATR rising (volatility up); Price above PSAR (bullish); DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),5.0,2023-06-21 16:30:00
2023-06-21 16:30:00,0.67449999,0.67900002,0.67000002,0.67000002,11678,0.69297336,0.6911435,0.67473005,0.68167214,0.68609715,0.69190949,-0.00839221,42.70832858,0.65561952,0.68307004,0.71052057,8.0373964,0.26193491,0.01623603,112445.0,21.89756435,21.89756435,20.84060982,24.01147342,0.67933351,0.6624147,14.92506572,24.22436295,22.63317466,-62.72517578,-85.18519781,-7.8911163,36.58567218,0.01408182,0.01408182,0.65070946,0.68167214,0.71263482,0.66000003,0.69000003,0.72000003,5.44997585,19.15475009,0.0001983,,,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); WILLR oversold; ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),5.0,2023-06-21 17:30:00
2023-06-21 17:30:00,0.67439997,0.67940003,0.67000002,0.67940003,9013,0.69247003,0.6909075,0.67557914,0.68145575,0.68566508,0.69166177,-0.00751675,46.58420929,0.65808382,0.68128504,0.70448627,6.81101729,0.45937683,0.0159089,121458.0,24.48524468,24.48524468,23.21477125,27.02619155,0.67915964,0.66324641,14.12933086,23.3542687,21.64699347,-38.92877327,-67.66666667,-5.63888865,39.54099853,0.01190198,0.01190198,0.65165142,0.68145575,0.71126008,0.66000003,0.68995002,0.71990001,5.35197257,19.96285254,0.00014166,,,Strong Buy,0.98,ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); ROC strong down; DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5),MACD bearish; Price below BBM (mid band); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),8.0,2023-06-21 18:30:00
2023-06-21 18:30:00,0.6789,0.69199997,0.67750001,0.69169998,17072,0.6923067,0.6908675,0.6785102,0.68243139,0.68605443,0.69166253,-0.005764,51.1268996,0.66057781,0.68037004,0.70016228,5.81807849,0.78622178,0.0158415,138530.0,34.00109093,34.00109093,26.79463332,48.41400615,0.67992642,0.66406148,14.23385326,27.6431721,20.18588578,41.68267628,-47.07852991,-3.27227106,43.59500596,0.0101532,0.0101532,0.65270367,0.68243139,0.71215911,0.66000003,0.68995002,0.71990001,5.15378583,21.13701007,0.00010309,Head and Shoulders,,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); OBV rising (bullish volume); Price above VWAP (bullish); Price above PSAR (bullish); DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),Head and Shoulders pattern detected (bearish reversal); MACD bearish; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),8.0,2023-06-21 19:30:00
2023-06-21 19:30:00,0.69169998,0.69169998,0.67940003,0.67940003,15907,0.69163336,0.6906735,0.67867199,0.68214269,0.68562511,0.69141971,-0.00530627,46.93572017,0.66041149,0.68006005,0.6997086,5.77847699,0.48320444,0.0156721,122623.0,43.13324408,43.13324408,33.87319323,61.65334578,0.68022256,0.66486025,14.33089888,26.03768008,19.01350663,20.97632496,-67.612677,-4.30985223,47.25199204,0.0100795,0.0100795,0.65290333,0.68214269,0.71138205,0.66000003,0.68995002,0.71990001,5.04219852,21.81460601,0.0001016,,,Strong Buy,0.98,ATR rising (volatility up); Price above PSAR (bullish); DMIp strong; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low drawdown (ULCER < 5); Low volatility (HVOL < 20),MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),4.0,2023-06-21 20:30:00
2023-06-28 16:30:00,0.64960003,0.65890002,0.64270002,0.65890002,18529,0.65955283,0.68329436,0.65151516,0.65432384,0.65852769,0.67592515,-0.00508716,48.66089863,0.63593723,0.65176425,0.66759127,4.8566688,0.72543006,0.01545626,58653.0,44.29067292,44.29067292,41.15671762,50.55858353,0.65114494,0.63999999,14.32826347,17.16448397,14.81768037,22.89544192,-45.99994514,-1.73004629,28.08516046,0.00811909,0.00811909,0.62610805,0.65432384,0.68253964,0.63999999,0.6575,0.67500001,3.80034604,20.65122124,6.592e-05,,,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); DMIm weak; SMA100 crossed above EMA100; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low volatility (HVOL < 20),MACD bearish; OBV falling (bearish volume); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),7.0,2023-06-28 17:30:00
2023-06-28 17:30:00,0.64700001,0.65890002,0.64499998,0.65450001,20292,0.6587195,0.68261137,0.65205786,0.65434062,0.65826784,0.67550089,-0.00449075,47.25896722,0.63612184,0.65144175,0.66676166,4.7033859,0.59981325,0.01538209,38361.0,49.71167263,49.71167263,46.13610417,56.86280955,0.65146507,0.64037799,13.82891794,16.00235827,13.8144456,22.66976588,-58.5713951,-2.29884908,25.8164847,0.00785895,0.00785895,0.62616442,0.65434062,0.68251682,0.63999999,0.6575,0.67500001,3.34613014,20.75115827,6.176e-05,,,Strong Buy,0.98,Price above BBM (mid band); ATR rising (volatility up); Price above VWAP (bullish); Price above PSAR (bullish); DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout); Low volatility (HVOL < 20),MACD bearish; OBV falling (bearish volume); Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),6.0,2023-06-28 18:30:00
2023-06-30 13:30:00,0.63319999,0.648,0.62599999,0.63010001,12724,0.6446594,0.67631784,0.63227823,0.63895416,0.64467795,0.6674087,-0.00876164,42.68141913,0.61775205,0.6404698,0.66318755,7.09409062,0.27176905,0.01587605,-72617.0,40.06458875,40.06458875,33.0854647,54.02283683,0.6347,0.60900003,18.51899543,17.80600728,17.60215771,-42.58707642,-58.3826414,-2.31007294,18.773886,0.01165396,0.01165396,0.60712008,0.63895416,0.67078824,0.60900003,0.63435,0.65969998,3.75239468,19.45911296,0.00013581,,Spinning Top,Strong Buy,0.98,Spinning Top candle detected (indecision); ATR rising (volatility up); Price above PSAR (bullish); MFI oversold; DMIm weak; STDDEV low volatility; ROLLING_STD low volatility; Price above Keltner Channel Lower (potential support); Price above Donchian Channel Lower (breakout),Spinning Top candle detected (indecision); MACD bearish; Price below BBM (mid band); OBV falling (bearish volume); Price below VWAP (bearish); SMA30 crossed below EMA30; Price below Keltner Channel Upper (potential resistance); Price below Donchian Channel Upper (breakdown),1.0,2023-06-30 14:30:00
